DATE_TIME,PLANT_ID,DC_POWER,AC_POWER,DAILY_YIELD,TOTAL_YIELD,SOURCE_KEY,AMBIENT_TEMPERATURE,MODULE_TEMPERATURE,IRRADIATION,HOUR,AC_POWER_PREDICTED,ERROR,ABS_ERROR,FAULT_FLAG,Power_Loss_W,Energy_Loss_kWh,Revenue_Loss_USD
2020-05-15 09:00:00,4135001,165598.892858,16211.35,16593.1785714,7603719.5,HmiyD2TTLFNqkNe,27.6209698,45.0092326,0.6231526486666666,9,17832.56413955244,-1621.2141395524395,1621.2141395524395,True,1621.2141395524395,0.4053035348881099,0.04053035348881099
2020-05-15 10:00:00,4135001,183026.214283,17896.7982142,29346.7321444,7604287.0,HmiyD2TTLFNqkNe,28.632191866666663,52.5477356,0.670675372,10,19389.821750280556,-1493.0235360805527,1493.0235360805527,True,1493.0235360805527,0.3732558840201382,0.037325588402013825
2020-05-15 11:15:00,4135001,160301.22619000002,15683.7136904,47752.761904,7605024.875,HmiyD2TTLFNqkNe,30.21606228571428,50.006988571428565,0.5857872135714286,11,16991.76524685528,-1308.051556455281,1308.051556455281,True,1308.051556455281,0.3270128891138202,0.03270128891138202
2020-05-15 11:45:00,4135001,167668.196427,16401.5892857,55271.107142,7605370.625,HmiyD2TTLFNqkNe,30.811049333333333,47.8363832,0.4679868693333333,11,13725.039324610005,2676.549961089997,2676.549961089997,True,2676.549961089997,0.6691374902724992,0.06691374902724993
2020-05-15 12:15:00,4135001,209569.398819,20477.0178565,63932.303572,7605775.875,HmiyD2TTLFNqkNe,31.50729773333333,49.84449266666666,0.7878660286666666,12,22437.59426975293,-1960.576413252933,1960.576413252933,True,1960.576413252933,0.49014410331323327,0.04901441033132333
2020-05-16 10:00:00,4135001,161620.160715,15823.0624999,33606.303571,7610614.5,HmiyD2TTLFNqkNe,27.611354533333337,46.072651933333326,0.491453022,10,14311.680260257628,1511.3822396423711,1511.3822396423711,True,1511.3822396423711,0.37784555991059277,0.03778455599105928
2020-05-16 10:15:00,4135001,156988.035715,15370.6178572,37151.339286,7610776.857,HmiyD2TTLFNqkNe,27.93121328571429,44.468571,0.4697288307142857,10,13663.440137150375,1707.1777200496235,1707.1777200496235,True,1707.1777200496235,0.42679443001240586,0.04267944300124059
2020-05-16 10:30:00,4135001,206873.089291,20231.7249999,41729.910714,7610982.857,HmiyD2TTLFNqkNe,28.2829874,48.962665,0.654436842,10,18819.587018684622,1412.137981215379,1412.137981215379,True,1412.137981215379,0.3530344953038448,0.03530344953038448
2020-05-16 13:15:00,4135001,233783.17858,22843.682144,93901.625,7613385.625,HmiyD2TTLFNqkNe,31.66299653333333,52.0534832,0.7332435986666667,13,21041.11419960458,1802.5679443954175,1802.5679443954175,True,1802.5679443954175,0.45064198609885436,0.04506419860988544
2020-05-17 10:30:00,4135001,225160.44644,21990.9107148,50157.589286,7617804.0,HmiyD2TTLFNqkNe,30.158901066666665,50.718400200000005,0.685881602,10,19724.9566203596,2265.9540944404,2265.9540944404,True,2265.9540944404,0.5664885236100999,0.05664885236101
2020-05-17 11:15:00,4135001,277243.94643,27034.6321414,68351.964285,7618637.75,HmiyD2TTLFNqkNe,31.53113,60.208569533333325,0.997903636,11,28499.83428655731,-1465.2021451573091,1465.2021451573091,True,1465.2021451573091,0.3663005362893273,0.03663005362893273
2020-05-17 11:30:00,4135001,268838.82143,26224.062501,75207.964286,7618948.571,HmiyD2TTLFNqkNe,32.317808071428566,63.145581571428565,0.97745754,11,28052.521046831167,-1828.4585458311667,1828.4585458311667,True,1828.4585458311667,0.45711463645779166,0.04571146364577917
2020-05-17 11:45:00,4135001,236420.660706,23074.4815471,81300.02976,7619234.0,HmiyD2TTLFNqkNe,32.5278644,61.80199160000001,0.869908956,11,25095.495508245687,-2021.013961145687,2021.013961145687,True,2021.013961145687,0.5052534902864217,0.050525349028642176
2020-05-17 12:30:00,4135001,183652.232143,17951.9339283,96224.946429,7619910.857,HmiyD2TTLFNqkNe,33.10833713333334,56.4158632,0.6696705126666667,12,19479.962944476956,-1528.0290161769517,1528.0290161769517,True,1528.0290161769517,0.3820072540442379,0.03820072540442379
2020-05-17 12:45:00,4135001,230469.857144,22497.8178564,101040.589286,7620146.875,HmiyD2TTLFNqkNe,33.64918780000001,56.556677533333335,0.8371243526666667,12,24007.1458961449,-1509.328039744898,1509.328039744898,True,1509.328039744898,0.3773320099362245,0.03773320099362246
